EIE22_1,1,12_Product1_EIE22,-1,11_Reactant1_EIE22,0.010245668475303164
EIE22_2,1,14_Product2_EIE22,-1,13_Reactant2_EIE22,0.006893925628363841
EIE22_3,1,16_Product3_EIE22,-1,15_Reactant3_EIE22,0.005294230178688259
EIE22_4,1,18_Product4_EIE22,-1,17_Reactant4_EIE22,0.007122453549746067
EIE22_5,1,20_Product5_EIE22,-1,19_Reactant5_EIE22,0.0071605415366431105
EIE22_6,1,22_Product6_EIE22,-1,21_Reactant6_EIE22,0.007236717510437181
EIE22_7,1,24_Product7_EIE22,-1,23_Reactant7_EIE22,0.010855076265655772
EIE22_8,1,26_Product8_EIE22,-1,25_Reactant8_EIE22,0.012797563597404691
EIE22_9,1,28_Product9_EIE22,-1,27_Reactant9_EIE22,0.005675110047658625
EIE22_10,1,30_Product10_EIE22,-1,29_Reactant10_EIE22,0.006017901929731964
EIE22_11,1,32_Product11_EIE22,-1,31_Reactant11_EIE22,0.0001523519475881511
EIE22_12,1,34_Product12_EIE22,-1,33_Reactant12_EIE22,0.0016758714234696684
EIE22_13,1,36_Product13_EIE22,-1,35_Reactant13_EIE22,0.01321653145327212
EIE22_14,1,38_Product14_EIE22,-1,37_Reactant14_EIE22,0.0009902876593229823
EIE22_15,1,40_Product15_EIE22,-1,39_Reactant15_EIE22,0.007922301274583859
EIE22_16,1,42_Product16_EIE22,-1,41_Reactant16_EIE22,0.014701962942256588
EIE22_17,1,44_Product17_EIE22,-1,43_Reactant17_EIE22,0.007998477248377928
EIE22_18,1,46_Product18_EIE22,-1,45_Reactant18_EIE22,-0.004380118493159339
EIE22_19,1,48_Product19_EIE22,-1,47_Reactant19_EIE22,0.005370406152482329
EIE22_20,1,50_Product20_EIE22,-1,49_Reactant20_EIE22,0.006665397706981616
EIE22_21,1,52_Product21_EIE22,-1,51_Reactant21_EIE22,0.0075033334187164505
EIE22_22,1,54_Product22_EIE22,-1,53_Reactant22_EIE22,0.004989526283511947
