3B-69-TRIM_1,1,01a_water_trim_3B-69,-1,01a_water_monA_3B-69,-1,01a_water_monB_3B-69,-1,01a_water_monC_3B-69,-0.01768738162529810000
3B-69-TRIM_2,1,01b_water_trim_3B-69,-1,01b_water_monA_3B-69,-1,01b_water_monB_3B-69,-1,01b_water_monC_3B-69,-0.00940702889757047000
3B-69-TRIM_3,1,01c_water_trim_3B-69,-1,01c_water_monA_3B-69,-1,01c_water_monB_3B-69,-1,01c_water_monC_3B-69,-0.02564901407867130000
3B-69-TRIM_4,1,02a_formaldehyde_trim_3B-69,-1,02a_formaldehyde_monA_3B-69,-1,02a_formaldehyde_monB_3B-69,-1,02a_formaldehyde_monC_3B-69,-0.00728594547174186000
3B-69-TRIM_5,1,02b_formaldehyde_trim_3B-69,-1,02b_formaldehyde_monA_3B-69,-1,02b_formaldehyde_monB_3B-69,-1,02b_formaldehyde_monC_3B-69,-0.00479195932491859000
3B-69-TRIM_6,1,02c_formaldehyde_trim_3B-69,-1,02c_formaldehyde_monA_3B-69,-1,02c_formaldehyde_monB_3B-69,-1,02c_formaldehyde_monC_3B-69,-0.01008749668331710000
3B-69-TRIM_7,1,03a_methanol_ethyne_trim_3B-69,-1,03a_methanol_ethyne_monA_3B-69,-1,03a_methanol_ethyne_monB_3B-69,-1,03a_methanol_ethyne_monC_3B-69,-0.01861645122504120000
3B-69-TRIM_8,1,03b_methanol_ethyne_trim_3B-69,-1,03b_methanol_ethyne_monA_3B-69,-1,03b_methanol_ethyne_monB_3B-69,-1,03b_methanol_ethyne_monC_3B-69,-0.00452423429446088000
3B-69-TRIM_9,1,03c_methanol_ethyne_trim_3B-69,-1,03c_methanol_ethyne_monA_3B-69,-1,03c_methanol_ethyne_monB_3B-69,-1,03c_methanol_ethyne_monC_3B-69,-0.00901022215599923000
3B-69-TRIM_10,1,04a_acetonitrile_trim_3B-69,-1,04a_acetonitrile_monA_3B-69,-1,04a_acetonitrile_monB_3B-69,-1,04a_acetonitrile_monC_3B-69,-0.01250817716703890000
3B-69-TRIM_11,1,04b_acetonitrile_trim_3B-69,-1,04b_acetonitrile_monA_3B-69,-1,04b_acetonitrile_monB_3B-69,-1,04b_acetonitrile_monC_3B-69,-0.00657679286130329000
