SN13_1,1,145_ch3f_W4-11,1,189_h_W4-11,-1,172_f_W4-11,-1,148_ch4_W4-11,-0.004047747484301035
SN13_2,1,139_ch2f2_W4-11,1,189_h_W4-11,-1,172_f_W4-11,-1,145_ch3f_W4-11,-0.02344187617876702
SN13_3,1,145_ch3f_W4-11,1,144_ch3_W4-11,-1,172_f_W4-11,-1,130_c2h6_W4-11,-0.02828642434895408
SN13_4,1,139_ch2f2_W4-11,1,144_ch3_W4-11,-1,172_f_W4-11,-1,129_c2h5f_W4-11,-0.03831017697740035
SN13_5,1,129_c2h5f_W4-11,1,144_ch3_W4-11,-1,172_f_W4-11,-1,229_propane_W4-11,-0.03419868543822843
SN13_6,1,145_ch3f_W4-11,1,211_nh2_W4-11,-1,172_f_W4-11,-1,146_ch3nh2_W4-11,-0.03705123189370041
SN13_7,1,145_ch3f_W4-11,1,213_nh_W4-11,-1,172_f_W4-11,-1,147_ch3nh_W4-11,-0.05008689111479587
SN13_8,1,145_ch3f_W4-11,1,222_oh_W4-11,-1,172_f_W4-11,-1,203_methanol_W4-11,-0.02656533486744026
SN13_9,1,145_ch3f_W4-11,1,187_hco_W4-11,-1,172_f_W4-11,-1,101_acetaldehyde_W4-11,-0.03907510563585093
SN13_10,1,144_ch3_W4-11,1,188_hcof_W4-11,-1,172_f_W4-11,-1,101_acetaldehyde_W4-11,-0.05378404629730706
SN13_11,1,188_hcof_W4-11,1,189_h_W4-11,-1,172_f_W4-11,-1,178_h2co_W4-11,-0.04634192789113153
SN13_12,1,168_f2co_W4-11,1,189_h_W4-11,-1,172_f_W4-11,-1,188_hcof_W4-11,-0.02691592716923011
SN13_13,1,188_hcof_W4-11,1,187_hco_W4-11,-1,172_f_W4-11,-1,176_glyoxal_W4-11,-0.07658848192736524
