AE18_1,1,11_H_AE18,-0.5
AE18_2,1,12_He_AE18,-2.90372
AE18_3,1,13_Li_AE18,-7.47806
AE18_4,1,14_Be_AE18,-14.66736
AE18_5,1,15_B_AE18,-24.65391
AE18_6,1,16_C_AE18,-37.845
AE18_7,1,17_N_AE18,-54.5892
AE18_8,1,18_O_AE18,-75.0673
AE18_9,1,19_F_AE18,-99.7339
AE18_10,1,20_Ne_AE18,-128.9376
AE18_11,1,21_Na_AE18,-162.2546
AE18_12,1,22_Mg_AE18,-200.053
AE18_13,1,23_Al_AE18,-242.346
AE18_14,1,24_Si_AE18,-289.359
AE18_15,1,25_P_AE18,-341.259
AE18_16,1,26_S_AE18,-398.11
AE18_17,1,27_Cl_AE18,-460.148
AE18_18,1,28_Ar_AE18,-527.54
